Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A
B1,10/04/2026,Charleroi,Antwerp,,,,1.83,3.55,4.1
D1,10/04/2026,FC Augsburg,1899 Hoffenheim,,,,3.2,3.7,2.06
D2,10/04/2026,Fortuna Düsseldorf,Holstein Kiel,,,,2.0,3.7,3.35
D2,10/04/2026,Karlsruher SC,Arminia Bielefeld,,,,3.1,3.65,2.15
E0,10/04/2026,West Ham,Wolves,,,,1.81,3.65,4.1
E1,10/04/2026,West Brom,Millwall,,,,2.2,3.25,3.25
E3,10/04/2026,Colchester,Swindon,,,,2.25,3.5,2.95
I1,10/04/2026,AS Roma,Pisa,,,,1.31,4.65,11.0
I2,10/04/2026,Frosinone,Palermo,,,,2.42,3.5,2.7
N1,10/04/2026,Twente,FC Volendam,,,,1.18,6.5,15.0
SC1,10/04/2026,Queen's Park,Ross County,,,,3.0,3.2,2.25
SP1,10/04/2026,Real Madrid,Girona,,,,1.25,5.75,10.75
SP2,10/04/2026,AD Ceuta FC,Real Sociedad II,,,,1.97,3.65,3.5
B1,11/04/2026,Cercle Brugge,RAAL La Louvière,,,,1.9,3.65,3.7
B1,11/04/2026,Standard Liege,KVC Westerlo,,,,2.5,3.25,2.75
B1,11/04/2026,St. Truiden,Club Brugge KV,,,,3.45,3.95,1.9
D1,11/04/2026,VfL Wolfsburg,Eintracht Frankfurt,,,,2.52,3.55,2.55
D1,11/04/2026,Borussia Dortmund,Bayer Leverkusen,,,,1.95,3.8,3.4
D1,11/04/2026,RB Leipzig,Borussia Mönchengladbach,,,,1.5,4.5,5.5
D1,11/04/2026,1. FC Heidenheim,Union Berlin,,,,3.1,3.45,2.18
D1,11/04/2026,FC St. Pauli,Bayern München,,,,8.6,4.9,1.33
D2,11/04/2026,Hertha BSC,1. FC Kaiserslautern,,,,1.8,4.0,3.75
D2,11/04/2026,1. FC Nürnberg,Dynamo Dresden,,,,2.05,3.7,3.2
D2,11/04/2026,Preußen Münster,SpVgg Greuther Fürth,,,,2.1,3.4,3.35
D2,11/04/2026,SV Darmstadt 98,Hannover 96,,,,2.5,3.7,2.5
E0,11/04/2026,Arsenal,Bournemouth,,,,1.42,4.33,7.6
E0,11/04/2026,Burnley,Brighton,,,,4.4,3.9,1.7
E0,11/04/2026,Brentford,Everton,,,,2.12,3.25,3.4
E0,11/04/2026,Liverpool,Fulham,,,,1.56,4.2,5.25
E1,11/04/2026,Norwich,Ipswich,,,,2.9,3.55,2.26
E1,11/04/2026,QPR,Bristol City,,,,2.28,3.3,3.05
E1,11/04/2026,Coventry,Sheffield Weds,,,,1.12,8.2,18.5
E1,11/04/2026,Southampton,Derby,,,,1.81,3.65,4.1
E1,11/04/2026,Leicester,Swansea,,,,2.06,3.5,3.3
E1,11/04/2026,Sheffield Utd,Hull,,,,1.81,3.85,3.9
E1,11/04/2026,Middlesbrough,Portsmouth,,,,1.52,4.0,6.0
E1,11/04/2026,Stoke,Blackburn,,,,2.56,3.2,2.72
E1,11/04/2026,Charlton,Preston,,,,2.12,3.3,3.4
E1,11/04/2026,Oxford,Watford,,,,2.32,3.25,3.0
E2,11/04/2026,Cardiff,Bolton,,,,1.81,3.95,3.8
E2,11/04/2026,Plymouth,Exeter,,,,1.57,4.2,5.2
E2,11/04/2026,Lincoln,Leyton Orient,,,,1.48,4.2,6.25
E2,11/04/2026,Huddersfield,Wycombe,,,,2.32,3.4,2.92
E2,11/04/2026,Wigan,Mansfield,,,,2.35,3.35,2.88
E2,11/04/2026,Rotherham,Barnsley,,,,2.54,3.55,2.54
E2,11/04/2026,Burton,AFC Wimbledon,,,,1.84,3.45,4.2
E2,11/04/2026,Bradford,Stevenage,,,,2.22,3.05,3.4
E2,11/04/2026,Doncaster,Reading,,,,1.9,3.6,3.75
E2,11/04/2026,Blackpool,Peterborough,,,,1.84,3.8,3.8
E3,11/04/2026,Bristol Rvs,Crawley Town,,,,2.02,3.55,3.45
E3,11/04/2026,Milton Keynes Dons,Bromley,,,,1.81,3.6,4.2
E3,11/04/2026,Walsall,Cheltenham,,,,1.76,3.45,4.7
E3,11/04/2026,Chesterfield,Tranmere,,,,1.5,4.1,6.25
E3,11/04/2026,Shrewsbury,Oldham,,,,3.6,3.2,2.1
E3,11/04/2026,Accrington ST,Fleetwood Town,,,,3.05,3.15,2.34
E3,11/04/2026,Grimsby,Crewe,,,,1.74,3.75,4.35
E3,11/04/2026,Newport County,Harrogate,,,,2.26,3.35,3.0
E3,11/04/2026,Barnet,Barrow,,,,1.55,3.95,5.9
E3,11/04/2026,Cambridge,Notts County,,,,1.84,3.3,4.5
E3,11/04/2026,Salford,Gillingham,,,,1.63,3.85,5.2
EC,11/04/2026,Boreham Wood,Hartlepool,,,,,,
EC,11/04/2026,Tamworth,York,,,,,,
